GEOGID,GEOGTYPE,GEOGDESC,T1_2T,T6_1_TP,T8_1_WT,T8_1_LFFJT,T8_1_ULGUPJT,T11_1_BI,T11_1_BU,T11_1_M,T11_1_CD,T11_1_CP,T11_1_V,T11_1_OTH,T11_2_T1,T11_2_T2,T11_2_T3,T11_2_T4,T11_2_T5,T11_2_T6,T11_2_T7,T11_2_T8,T11_3_D1,T11_3_D2,T11_3_D3,T11_3_D4,T11_3_D5,T11_3_D6,T15_1_1C,T15_1_2C,T15_1_3C,T15_1_GE4C,T15_1_TC
C01,CTY,Carlow,54612,54187,19502,409,5499,311,1729,59,13250,6975,1773,1541,1587,1776,2148,3854,5305,8050,4475,2099,12812,8305,3650,1263,1620,908,7909,6748,1300,508,27337
C02,CTY,Dublin City,527612,499659,227429,5086,46613,23265,55601,1944,82619,25987,5231,5306,14063,18569,26695,45423,74647,68718,19031,33342,70817,111254,72640,21058,14707,3232,85069,36255,5781,1442,180690
C03,CTY,South Dublin,265205,263723,106534,2361,23678,4985,22941,1239,68785,24468,5128,2412,8002,11191,17337,26754,36696,36093,8144,13776,41334,53219,34784,11953,10087,2336,38912,30980,5440,1538,123344
C04,CTY,Fingal,273991,271958,119276,2224,20416,3925,20728,1007,72058,25134,4811,3506,11747,14259,19375,27420,37044,37152,8203,13613,44653,47207,37068,16298,16032,3975,40326,34493,5365,1429,131123
C05,CTY,Dún Laoghaire-Rathdown,206261,202594,87490,1007,10064,6869,13908,935,49525,19569,2225,3764,3515,6693,12737,25517,35591,24662,6858,11138,30781,43276,31392,11138,6926,1087,31457,27252,5128,1366,106809
C06,CTY,Kildare,210312,208522,85587,1371,17268,1941,11489,481,58387,25155,5457,4066,7695,10722,12969,18670,26369,30815,10760,9746,40710,36675,22435,10063,11996,3439,26579,29245,5112,1697,107193
C07,CTY,Kilkenny,95419,94342,37273,610,8382,724,4760,108,25390,11938,2978,3386,2333,2812,4264,8506,12364,13291,6280,3470,21329,17453,8380,2084,1662,1203,13074,12736,2470,930,49676
C08,CTY,Laois,80559,79751,30337,674,7586,467,3776,52,20223,10684,2676,2508,2736,3082,3535,6133,9045,11456,4862,2937,17106,12251,6069,2278,3150,1950,11224,10439,1840,709,40458
C09,CTY,Longford,39000,38986,13871,348,4214,189,2165,20,9094,4839,1210,1187,1178,989,1234,2554,3097,5400,4421,1522,9108,5768,2666,796,738,721,6288,4548,789,261,18795
C10,CTY,Louth,122897,122339,44232,1067,12725,1114,7067,132,28539,15085,3133,1893,3907,4411,4788,8928,14060,20136,6797,4970,28286,20649,8401,2727,4189,2236,18314,13875,2331,752,56065
C11,CTY,Meath,184135,184336,74342,1137,15155,1017,12236,330,51710,21097,5829,4206,7644,9981,11488,15628,20128,24238,12629,7409,35618,27872,19480,9529,10831,3556,22522,26858,4736,1695,97226
C12,CTY,Offaly,76687,76274,27536,608,7705,531,4081,64,18391,9870,2561,2241,2384,2557,3169,5826,7167,10881,6704,2705,18327,10924,5734,1780,2221,1418,10758,9577,1819,646,37953
C13,CTY,Westmeath,86164,84869,32319,666,7971,655,4477,88,21588,11039,2558,2258,2569,2658,3230,6287,9447,13086,7170,3517,20520,14115,5719,1965,2930,1617,12435,10811,1883,637,42254
C14,CTY,Wexford,145320,144349,51307,1406,14764,466,7408,141,34458,18399,4573,4668,4289,4122,5710,10865,15817,20538,8904,5427,33016,22109,10147,2813,3495,2401,21938,18264,3637,1348,74769
C15,CTY,Wicklow,136640,135259,52907,789,11885,806,7535,309,34403,15881,3482,3624,3973,6264,8952,12384,15358,17999,6928,5556,25646,19008,13883,6572,8274,2577,18410,17976,3476,1273,69882
C16,CTY,Clare,117196,115587,45606,737,9805,762,4744,116,31852,15909,3593,3551,2346,3516,5059,9451,12532,19365,7827,5365,27958,19763,10500,2840,2257,909,16944,16316,2834,875,61578
C17,CTY,Cork City,119230,115461,43062,1015,11251,1878,5972,311,22624,10566,1500,998,2109,3094,4818,8720,16703,16770,3829,7934,24477,26508,8668,1461,1032,431,19391,10085,2095,580,48166
C18,CTY,Cork,399802,396839,164441,2006,26597,1570,18562,656,118212,55142,12875,12462,9606,14862,22886,39622,52589,57833,20145,15505,83940,73290,44970,13639,9665,2839,51979,57530,11582,4328,219097
C19,CTY,Kerry,145502,140975,55767,921,12598,1291,7200,134,35847,17706,5346,4807,2297,3614,5447,10089,16104,23099,9564,6624,34702,23168,10992,2457,2307,1354,22028,18314,3464,1258,74080
C20,CTY,Limerick City,57106,55327,18419,606,6788,820,2084,73,10757,5279,698,490,956,1294,1802,3405,7216,8944,2130,3452,11957,11740,3538,540,434,249,9806,4445,701,166,21463
C21,CTY,Limerick,134703,132233,52622,871,10272,730,5917,134,39201,18056,4188,4237,2858,4598,6959,11774,16468,20174,8784,5932,30002,25325,13455,3456,2516,1074,17606,18941,3970,1491,73362
C22,CTY,Tipperary North,70322,70170,27022,469,5854,326,2851,61,18320,9416,2239,2691,1694,2190,3021,5144,7462,11818,4880,2500,17450,10745,5494,1748,1446,933,10173,9387,1826,644,37001
C23,CTY,Tipperary South,88432,87919,33310,662,8011,357,4081,100,22606,11431,2447,2914,2409,2901,4215,7074,9107,12536,6065,3035,21585,13174,6529,1953,2072,806,13269,11142,2270,779,45479
C24,CTY,Waterford City,46732,45554,16780,444,5172,433,1266,80,11123,6337,690,413,1341,1220,1471,3051,6659,7551,1571,2463,12255,9541,1948,453,397,253,8352,4394,640,167,19728
C25,CTY,Waterford,67063,66707,25162,446,5510,363,3204,88,18267,8955,1986,2249,1691,2136,3111,5636,7552,11065,3675,2184,15318,12223,5158,1500,1473,572,9133,9523,1826,693,36429
C26,CTY,Galway City,75529,70918,31557,654,6580,2314,3930,127,18798,8023,1066,915,1350,2202,2984,6298,11657,10690,3327,7066,16637,18853,6549,1217,1019,436,12262,7233,1295,337,31961
C27,CTY,Galway County,175124,172308,69207,1188,14123,944,10249,161,48159,23761,6334,5880,3966,5926,9096,15597,17170,25176,13765,7514,35951,26271,20055,6676,5374,1789,22988,24890,4427,1492,92017
C28,CTY,Leitrim,31798,31556,11972,207,2840,100,2197,24,8115,3226,1240,1073,477,694,1267,2213,2866,4503,3364,1322,6856,4810,2701,800,671,462,5219,4423,707,244,17162
C29,CTY,Mayo,130638,128492,49076,893,10973,637,7095,77,32421,16592,5241,3635,2718,3535,4387,8313,11421,20907,12352,6361,32754,19820,8913,2727,2914,1198,19836,16918,2982,1011,66662
C30,CTY,Roscommon,64065,63311,24390,447,5409,293,3421,52,16823,8198,2424,2170,1228,1599,2308,4538,6026,9152,7090,2548,14400,10367,4966,1453,1448,937,9820,8736,1586,509,34086
C31,CTY,Sligo,65393,63667,25434,427,5197,438,3291,66,17510,7826,2135,1613,976,1182,2373,4791,7352,10801,5939,3473,16042,12421,4945,1213,814,577,9760,8466,1520,486,33196
C32,CTY,Cavan,73183,72625,27309,559,6772,170,5517,37,17921,8749,2895,2397,2419,2188,2838,5780,7112,10389,6095,2575,16638,10853,5878,1629,1980,1367,10451,9288,1735,701,37036
C33,CTY,Donegal,161137,159139,53277,1380,17489,336,12849,78,35637,19658,5785,3659,2049,2929,4527,10409,16026,23594,16219,6748,38442,23782,10893,3427,2608,1326,25874,18569,3132,1035,76548
C34,CTY,Monaghan,60483,60473,23005,471,5511,150,4231,28,14783,7388,2684,2133,1944,1828,2395,5254,6591,9489,3682,2215,14297,10034,4582,1388,1260,870,8660,7379,1565,593,30485
