Day of Week,Date,Hour ending,Hourly volume Eastbound,HCV % Eastbound,Hourly volume Westbound,HCV % Westbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,30,0,23,13,53,5.7
Sun, Jan 1 2012,0200,30,6.7,39,7.7,69,7.2
Sun, Jan 1 2012,0300,52,9.6,46,8.7,98,9.2
Sun, Jan 1 2012,0400,35,8.6,32,9.4,67,9
Sun, Jan 1 2012,0500,48,8.3,23,4.3,71,7
Sun, Jan 1 2012,0600,16,18.8,8,0,24,12.5
Sun, Jan 1 2012,0700,19,10.5,23,4.3,42,7.1
Sun, Jan 1 2012,0800,36,11.1,20,5,56,8.9
Sun, Jan 1 2012,0900,43,7,28,14.3,71,9.9
Sun, Jan 1 2012,1000,77,6.5,45,11.1,122,8.2
Sun, Jan 1 2012,1100,157,3.8,63,1.6,220,3.2
Sun, Jan 1 2012,1200,276,2.5,137,2.2,413,2.4
Sun, Jan 1 2012,1300,526,1.5,250,1.2,776,1.4
Sun, Jan 1 2012,1400,634,1.4,371,1.9,1005,1.6
Sun, Jan 1 2012,1500,643,0.8,442,2,1085,1.3
Sun, Jan 1 2012,1600,617,1.5,471,1.1,1088,1.3
Sun, Jan 1 2012,1700,482,0.8,393,1,875,0.9
Sun, Jan 1 2012,1800,444,1.1,301,3,745,1.9
Sun, Jan 1 2012,1900,319,0.3,297,2,616,1.1
Sun, Jan 1 2012,2000,433,2.1,262,2.7,695,2.3
Sun, Jan 1 2012,2100,256,2,212,3.3,468,2.6
Sun, Jan 1 2012,2200,136,2.9,142,2.1,278,2.5
Sun, Jan 1 2012,2300,65,1.5,87,5.7,152,3.9
Sun, Jan 1 2012,2400,45,2.2,47,6.4,92,4.3
Mon, Jan 2 2012,0100,30,3.3,48,10.4,78,7.7
Mon, Jan 2 2012,0200,34,14.7,41,7.3,75,10.7
Mon, Jan 2 2012,0300,23,13,36,13.9,59,13.6
Mon, Jan 2 2012,0400,41,19.5,12,16.7,53,18.9
Mon, Jan 2 2012,0500,32,12.5,16,37.5,48,20.8
Mon, Jan 2 2012,0600,30,13.3,12,58.3,42,26.2
Mon, Jan 2 2012,0700,37,18.9,36,16.7,73,17.8
Mon, Jan 2 2012,0800,61,16.4,54,13,115,14.8
Mon, Jan 2 2012,0900,96,11.5,74,9.5,170,10.6
Mon, Jan 2 2012,1000,134,10.4,104,8.7,238,9.7
Mon, Jan 2 2012,1100,209,6.2,128,2.3,337,4.7
Mon, Jan 2 2012,1200,474,2.7,211,2.8,685,2.8
Mon, Jan 2 2012,1300,696,2.2,314,2.5,1010,2.3
Mon, Jan 2 2012,1400,734,1.6,369,3.3,1103,2.2
Mon, Jan 2 2012,1500,722,1.2,409,3.2,1131,1.9
Mon, Jan 2 2012,1600,659,1.8,408,3.9,1067,2.6
Mon, Jan 2 2012,1700,623,2.2,392,3.1,1015,2.6
Mon, Jan 2 2012,1800,526,3.6,362,4.1,888,3.8
Mon, Jan 2 2012,1900,458,2.8,301,1.7,759,2.4
Mon, Jan 2 2012,2000,340,4.7,273,2.9,613,3.9
Mon, Jan 2 2012,2100,232,3,233,1.7,465,2.4
Mon, Jan 2 2012,2200,130,3.1,178,2.8,308,2.9
Mon, Jan 2 2012,2300,62,3.2,126,8.7,188,6.9
Mon, Jan 2 2012,2400,38,13.2,62,11.3,100,12
Tue, Jan 3 2012,0100,28,14.3,33,18.2,61,16.4
Tue, Jan 3 2012,0200,24,25,22,18.2,46,21.7
Tue, Jan 3 2012,0300,21,33.3,18,38.9,39,35.9
Tue, Jan 3 2012,0400,27,18.5,13,38.5,40,25
Tue, Jan 3 2012,0500,29,27.6,25,40,54,33.3
Tue, Jan 3 2012,0600,64,9.4,47,29.8,111,18
Tue, Jan 3 2012,0700,136,8.1,171,4.7,307,6.2
Tue, Jan 3 2012,0800,261,10,436,2.5,697,5.3
Tue, Jan 3 2012,0900,282,7.4,468,4.3,750,5.5
Tue, Jan 3 2012,1000,250,12.8,339,10,589,11.2
Tue, Jan 3 2012,1100,270,11.5,239,7.5,509,9.6
Tue, Jan 3 2012,1200,323,6.8,278,7.9,601,7.3
Tue, Jan 3 2012,1300,418,7.7,310,9.7,728,8.5
Tue, Jan 3 2012,1400,370,6.2,362,8.3,732,7.2
Tue, Jan 3 2012,1500,393,5.3,388,5.7,781,5.5
Tue, Jan 3 2012,1600,456,5.3,395,6.3,851,5.8
Tue, Jan 3 2012,1700,555,6.3,330,6.4,885,6.3
Tue, Jan 3 2012,1800,661,3.5,409,3.7,1070,3.6
Tue, Jan 3 2012,1900,430,4.7,333,5.7,763,5.1
Tue, Jan 3 2012,2000,231,7.4,248,4,479,5.6
Tue, Jan 3 2012,2100,172,4.1,187,4.8,359,4.5
Tue, Jan 3 2012,2200,109,4.6,118,11,227,7.9
Tue, Jan 3 2012,2300,87,8,84,8.3,171,8.2
Tue, Jan 3 2012,2400,64,6.2,61,19.7,125,12.8
Wed, Jan 4 2012,0100,61,6.6,41,24.4,102,13.7
Wed, Jan 4 2012,0200,33,27.3,31,25.8,64,26.6
Wed, Jan 4 2012,0300,21,28.6,19,31.6,40,30
