Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,57,1.8,89,0,146,0.7
Sun, Jan 1 2012,0200,97,0,146,2.7,243,1.6
Sun, Jan 1 2012,0300,91,0,134,0,225,0
Sun, Jan 1 2012,0400,74,2.7,124,1.6,198,2
Sun, Jan 1 2012,0500,61,1.6,83,1.2,144,1.4
Sun, Jan 1 2012,0600,37,2.7,56,0,93,1.1
Sun, Jan 1 2012,0700,53,3.8,48,2.1,101,3
Sun, Jan 1 2012,0800,84,1.2,56,0,140,0.7
Sun, Jan 1 2012,0900,94,1.1,81,0,175,0.6
Sun, Jan 1 2012,1000,133,0,119,1.7,252,0.8
Sun, Jan 1 2012,1100,258,2.3,169,1.2,427,1.9
Sun, Jan 1 2012,1200,312,0.6,313,0.3,625,0.5
Sun, Jan 1 2012,1300,443,0.7,497,1.2,940,1
Sun, Jan 1 2012,1400,563,0.2,606,0.8,1169,0.5
Sun, Jan 1 2012,1500,628,0.6,682,0.1,1310,0.4
Sun, Jan 1 2012,1600,666,0.5,697,1.4,1363,1
Sun, Jan 1 2012,1700,625,0.8,659,0.5,1284,0.6
Sun, Jan 1 2012,1800,532,0.4,576,0.3,1108,0.4
Sun, Jan 1 2012,1900,534,0.4,537,0.4,1071,0.4
Sun, Jan 1 2012,2000,581,0.5,582,0.5,1163,0.5
Sun, Jan 1 2012,2100,399,1.3,417,2.6,816,2
Sun, Jan 1 2012,2200,325,0.6,288,2.4,613,1.5
Sun, Jan 1 2012,2300,206,2.4,213,0.9,419,1.7
Sun, Jan 1 2012,2400,89,3.4,160,3.8,249,3.6
Mon, Jan 2 2012,0100,56,3.6,88,1.1,144,2.1
Mon, Jan 2 2012,0200,65,4.6,97,2.1,162,3.1
Mon, Jan 2 2012,0300,37,2.7,80,2.5,117,2.6
Mon, Jan 2 2012,0400,43,9.3,65,1.5,108,4.6
Mon, Jan 2 2012,0500,33,6.1,31,6.5,64,6.2
Mon, Jan 2 2012,0600,33,9.1,23,17.4,56,12.5
Mon, Jan 2 2012,0700,85,4.7,26,11.5,111,6.3
Mon, Jan 2 2012,0800,144,2.8,75,4,219,3.2
Mon, Jan 2 2012,0900,181,5.5,143,3.5,324,4.6
Mon, Jan 2 2012,1000,202,1,135,3.7,337,2.1
Mon, Jan 2 2012,1100,289,3.5,212,1.9,501,2.8
Mon, Jan 2 2012,1200,535,2.4,322,1.9,857,2.2
Mon, Jan 2 2012,1300,648,1.5,461,1.7,1109,1.6
Mon, Jan 2 2012,1400,794,1.3,548,1.5,1342,1.3
Mon, Jan 2 2012,1500,796,1.8,669,2.2,1465,2
Mon, Jan 2 2012,1600,718,1.5,713,1.4,1431,1.5
Mon, Jan 2 2012,1700,737,1.8,738,1.6,1475,1.7
Mon, Jan 2 2012,1800,701,2.6,729,1.5,1430,2
Mon, Jan 2 2012,1900,598,1.5,683,2.6,1281,2.1
Mon, Jan 2 2012,2000,538,2,532,2.4,1070,2.2
Mon, Jan 2 2012,2100,373,1.1,425,1.9,798,1.5
Mon, Jan 2 2012,2200,285,1.1,289,2.8,574,1.9
Mon, Jan 2 2012,2300,177,2.8,194,1,371,1.9
Mon, Jan 2 2012,2400,118,5.1,143,4.9,261,5
Tue, Jan 3 2012,0100,76,2.6,76,2.6,152,2.6
Tue, Jan 3 2012,0200,45,11.1,57,1.8,102,5.9
Tue, Jan 3 2012,0300,22,22.7,34,5.9,56,12.5
Tue, Jan 3 2012,0400,30,16.7,26,23.1,56,19.6
Tue, Jan 3 2012,0500,46,17.4,25,40,71,25.4
Tue, Jan 3 2012,0600,134,6.7,47,34,181,13.8
Tue, Jan 3 2012,0700,487,3.1,112,17.9,599,5.8
Tue, Jan 3 2012,0800,942,2.7,255,8.2,1197,3.8
Tue, Jan 3 2012,0900,704,3.4,392,7.7,1096,4.9
Tue, Jan 3 2012,1000,551,4.9,255,11.8,806,7.1
