Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Fri, Apr 8 2011,0100,16,37.5,16,31.2,32,34.4
Fri, Apr 8 2011,0200,15,33.3,12,25,27,29.6
Fri, Apr 8 2011,0300,14,28.6,9,22.2,23,26.1
Fri, Apr 8 2011,0400,7,14.3,13,69.2,20,50
Fri, Apr 8 2011,0500,14,28.6,25,36,39,33.3
Fri, Apr 8 2011,0600,36,38.9,69,29,105,32.4
Fri, Apr 8 2011,0700,122,11.5,97,24.7,219,17.4
Fri, Apr 8 2011,0800,291,9.3,340,6.8,631,7.9
Fri, Apr 8 2011,0900,367,12.5,517,4.6,884,7.9
Fri, Apr 8 2011,1000,304,13.5,377,10.9,681,12
Fri, Apr 8 2011,1100,292,14.4,319,10,611,12.1
Fri, Apr 8 2011,1200,337,11.6,310,12.3,647,11.9
Fri, Apr 8 2011,1300,392,10.5,329,10.9,721,10.7
Fri, Apr 8 2011,1400,470,7,388,7.5,858,7.2
Fri, Apr 8 2011,1500,490,7.6,435,6.7,925,7.1
Fri, Apr 8 2011,1600,627,7.3,555,5.8,1182,6.6
Fri, Apr 8 2011,1700,611,5.4,566,5.7,1177,5.5
Fri, Apr 8 2011,1800,660,3.9,553,4.7,1213,4.3
Fri, Apr 8 2011,1900,539,3.9,446,4.7,985,4.3
Fri, Apr 8 2011,2000,416,3.4,393,4.1,809,3.7
Fri, Apr 8 2011,2100,259,4.6,300,4,559,4.3
Fri, Apr 8 2011,2200,203,4.4,182,4.9,385,4.7
Fri, Apr 8 2011,2300,123,5.7,141,2.8,264,4.2
Fri, Apr 8 2011,2400,85,4.7,81,6.2,166,5.4
Sat, Apr 9 2011,0100,35,11.4,47,8.5,82,9.8
Sat, Apr 9 2011,0200,38,2.6,25,8,63,4.8
Sat, Apr 9 2011,0300,19,15.8,20,30,39,23.1
Sat, Apr 9 2011,0400,12,16.7,20,15,32,15.6
Sat, Apr 9 2011,0500,8,12.5,24,29.2,32,25
Sat, Apr 9 2011,0600,19,15.8,42,21.4,61,19.7
Sat, Apr 9 2011,0700,68,17.6,63,27,131,22.1
Sat, Apr 9 2011,0800,130,14.6,143,13.3,273,13.9
Sat, Apr 9 2011,0900,183,10.4,185,7,368,8.7
Sat, Apr 9 2011,1000,253,10.3,284,9.2,537,9.7
Sat, Apr 9 2011,1100,284,5.6,354,3.4,638,4.4
Sat, Apr 9 2011,1200,386,6.7,328,5.2,714,6
Sat, Apr 9 2011,1300,451,3.5,394,3.8,845,3.7
Sat, Apr 9 2011,1400,387,2.1,450,3.3,837,2.7
Sat, Apr 9 2011,1500,407,2.2,368,2.4,775,2.3
Sat, Apr 9 2011,1600,387,3.1,351,3.1,738,3.1
Sat, Apr 9 2011,1700,392,3.6,333,4.5,725,4
Sat, Apr 9 2011,1800,449,2.7,356,4.8,805,3.6
Sat, Apr 9 2011,1900,365,2.2,317,2.2,682,2.2
Sat, Apr 9 2011,2000,264,2.7,248,3.2,512,2.9
Sat, Apr 9 2011,2100,205,4.9,217,2.3,422,3.6
Sat, Apr 9 2011,2200,198,2.5,149,2,347,2.3
Sat, Apr 9 2011,2300,98,1,84,3.6,182,2.2
Sat, Apr 9 2011,2400,70,0,82,2.4,152,1.3
Sun, Apr 10 2011,0100,48,0,35,2.9,83,1.2
Sun, Apr 10 2011,0200,19,0,47,2.1,66,1.5
Sun, Apr 10 2011,0300,23,0,30,0,53,0
Sun, Apr 10 2011,0400,27,3.7,18,11.1,45,6.7
Sun, Apr 10 2011,0500,14,14.3,24,8.3,38,10.5
Sun, Apr 10 2011,0600,16,12.5,27,0,43,4.7
Sun, Apr 10 2011,0700,40,5,39,2.6,79,3.8
Sun, Apr 10 2011,0800,82,7.3,69,4.3,151,6
Sun, Apr 10 2011,0900,109,9.2,115,6.1,224,7.6
Sun, Apr 10 2011,1000,149,3.4,153,6.5,302,5
Sun, Apr 10 2011,1100,208,4.3,239,7.9,447,6.3
Sun, Apr 10 2011,1200,299,2.3,294,5.1,593,3.7
Sun, Apr 10 2011,1300,428,1.2,365,1.4,793,1.3
Sun, Apr 10 2011,1400,439,2.1,442,3.2,881,2.6
Sun, Apr 10 2011,1500,459,2,395,1.8,854,1.9
Sun, Apr 10 2011,1600,433,2.3,391,2.6,824,2.4
Sun, Apr 10 2011,1700,445,3.6,501,1.6,946,2.5
Sun, Apr 10 2011,1800,428,3,413,3.4,841,3.2
Sun, Apr 10 2011,1900,416,3.6,503,2,919,2.7
Sun, Apr 10 2011,2000,350,3.7,493,2.6,843,3.1
Sun, Apr 10 2011,2100,339,5.3,384,2.3,723,3.7
Sun, Apr 10 2011,2200,201,4,258,2.7,459,3.3
Sun, Apr 10 2011,2300,117,6,137,4.4,254,5.1
Sun, Apr 10 2011,2400,65,3.1,71,2.8,136,2.9
Mon, Apr 11 2011,0100,41,4.9,39,5.1,80,5
Mon, Apr 11 2011,0200,41,0,19,5.3,60,1.7
Mon, Apr 11 2011,0300,9,22.2,14,21.4,23,21.7
Mon, Apr 11 2011,0400,15,20,10,30,25,24
Mon, Apr 11 2011,0500,15,20,23,21.7,38,21.1
Mon, Apr 11 2011,0600,63,20.6,88,22.7,151,21.9
Mon, Apr 11 2011,0700,183,7.7,167,10.8,350,9.1
Mon, Apr 11 2011,0800,344,7.6,427,6.1,771,6.7
Mon, Apr 11 2011,0900,393,9.7,603,4.5,996,6.5
Mon, Apr 11 2011,1000,304,10.9,400,6.2,704,8.2
Mon, Apr 11 2011,1100,307,10.7,305,11.8,612,11.3
Mon, Apr 11 2011,1200,273,13.9,299,12,572,12.9
Mon, Apr 11 2011,1300,307,13.4,260,13.5,567,13.4
Mon, Apr 11 2011,1400,292,11.3,303,12.2,595,11.8
Mon, Apr 11 2011,1500,302,13.2,326,10.1,628,11.6
Mon, Apr 11 2011,1600,341,7.3,339,9.1,680,8.2
Mon, Apr 11 2011,1700,424,4,372,9.4,796,6.5
Mon, Apr 11 2011,1800,568,6.2,363,4.7,931,5.6
Mon, Apr 11 2011,1900,446,8.1,343,5.2,789,6.8
Mon, Apr 11 2011,2000,204,8.3,279,7.9,483,8.1
Mon, Apr 11 2011,2100,166,9,186,9.1,352,9.1
Mon, Apr 11 2011,2200,157,5.1,137,6.6,294,5.8
Mon, Apr 11 2011,2300,106,6.6,89,6.7,195,6.7
Mon, Apr 11 2011,2400,43,9.3,52,7.7,95,8.4
Tue, Apr 12 2011,0100,28,28.6,40,12.5,68,19.1
Tue, Apr 12 2011,0200,8,0,17,29.4,25,20
Tue, Apr 12 2011,0300,14,21.4,6,33.3,20,25
Tue, Apr 12 2011,0400,27,11.1,16,50,43,25.6
Tue, Apr 12 2011,0500,11,54.5,29,48.3,40,50
Tue, Apr 12 2011,0600,39,35.9,56,23.2,95,28.4
Tue, Apr 12 2011,0700,146,9.6,127,19.7,273,14.3
Tue, Apr 12 2011,0800,300,12,378,8.5,678,10
Tue, Apr 12 2011,0900,349,10.3,580,5.2,929,7.1
Tue, Apr 12 2011,1000,357,14,423,10.4,780,12.1
Tue, Apr 12 2011,1100,299,13,304,10.9,603,11.9
Tue, Apr 12 2011,1200,304,11.8,253,13,557,12.4
Tue, Apr 12 2011,1300,305,14.8,277,12.6,582,13.7
Tue, Apr 12 2011,1400,304,14.8,283,9.9,587,12.4
Tue, Apr 12 2011,1500,319,10.7,285,11.6,604,11.1
Tue, Apr 12 2011,1600,359,10.6,332,9.9,691,10.3
Tue, Apr 12 2011,1700,438,7.3,408,7.1,846,7.2
Tue, Apr 12 2011,1800,622,5.9,413,6.8,1035,6.3
Tue, Apr 12 2011,1900,447,6.9,353,6.8,800,6.9
Tue, Apr 12 2011,2000,210,5.2,265,8.3,475,6.9
Tue, Apr 12 2011,2100,166,9,166,6.6,332,7.8
Tue, Apr 12 2011,2200,154,7.1,145,5.5,299,6.4
Tue, Apr 12 2011,2300,105,2.9,91,4.4,196,3.6
Tue, Apr 12 2011,2400,31,3.2,54,9.3,85,7.1
Wed, Apr 13 2011,0100,39,17.9,30,13.3,69,15.9
Wed, Apr 13 2011,0200,21,0,10,10,31,3.2
Wed, Apr 13 2011,0300,9,55.6,8,37.5,17,47.1
Wed, Apr 13 2011,0400,4,50,11,45.5,15,46.7
Wed, Apr 13 2011,0500,14,42.9,19,31.6,33,36.4
Wed, Apr 13 2011,0600,32,37.5,65,16.9,97,23.7
Wed, Apr 13 2011,0700,147,12.2,122,11.5,269,11.9
Wed, Apr 13 2011,0800,324,9.9,333,8.7,657,9.3
Wed, Apr 13 2011,0900,345,10.1,566,3.7,911,6.1
Wed, Apr 13 2011,1000,306,9.8,393,7.4,699,8.4
