"Route","Yeartaken","Month","Day","Hour","Volume"
"M06",2016,"January","Fri",0,"115"
"M06",2016,"January","Fri",1,"144"
"M06",2016,"January","Fri",2,"129"
"M06",2016,"January","Fri",3,"102"
"M06",2016,"January","Fri",4,"91"
"M06",2016,"January","Fri",5,"56"
"M06",2016,"January","Fri",6,"106"
"M06",2016,"January","Fri",7,"106"
"M06",2016,"January","Fri",8,"122"
"M06",2016,"January","Fri",9,"197"
"M06",2016,"January","Fri",10,"364"
"M06",2016,"January","Fri",11,"774"
"M06",2016,"January","Fri",12,"1007"
"M06",2016,"January","Fri",13,"1247"
"M06",2016,"January","Fri",14,"1149"
"M06",2016,"January","Fri",15,"1052"
"M06",2016,"January","Fri",16,"865"
"M06",2016,"January","Fri",17,"814"
"M06",2016,"January","Fri",18,"621"
"M06",2016,"January","Fri",19,"501"
"M06",2016,"January","Fri",20,"418"
"M06",2016,"January","Fri",21,"299"
"M06",2016,"January","Fri",22,"214"
"M06",2016,"January","Fri",23,"149"
"M06",2016,"January","Sat",0,"103"
"M06",2016,"January","Sat",1,"93"
"M06",2016,"January","Sat",2,"60"
"M06",2016,"January","Sat",3,"55"
"M06",2016,"January","Sat",4,"62"
"M06",2016,"January","Sat",5,"74"
"M06",2016,"January","Sat",6,"187"
"M06",2016,"January","Sat",7,"222"
"M06",2016,"January","Sat",8,"368"
"M06",2016,"January","Sat",9,"508"
"M06",2016,"January","Sat",10,"786"
"M06",2016,"January","Sat",11,"1189"
"M06",2016,"January","Sat",12,"1464"
"M06",2016,"January","Sat",13,"1437"
"M06",2016,"January","Sat",14,"1322"
"M06",2016,"January","Sat",15,"1318"
"M06",2016,"January","Sat",16,"1204"
"M06",2016,"January","Sat",17,"1108"
"M06",2016,"January","Sat",18,"955"
"M06",2016,"January","Sat",19,"622"
"M06",2016,"January","Sat",20,"554"
"M06",2016,"January","Sat",21,"380"
"M06",2016,"January","Sat",22,"260"
"M06",2016,"January","Sat",23,"181"
"M06",2016,"January","Sun",0,"116"
"M06",2016,"January","Sun",1,"111"
"M06",2016,"January","Sun",2,"75"
"M06",2016,"January","Sun",3,"71"
"M06",2016,"January","Sun",4,"60"
"M06",2016,"January","Sun",5,"62"
"M06",2016,"January","Sun",6,"110"
"M06",2016,"January","Sun",7,"145"
"M06",2016,"January","Sun",8,"222"
"M06",2016,"January","Sun",9,"322"
"M06",2016,"January","Sun",10,"495"
"M06",2016,"January","Sun",11,"864"
"M06",2016,"January","Sun",12,"1185"
"M06",2016,"January","Sun",13,"1253"
"M06",2016,"January","Sun",14,"1360"
"M06",2016,"January","Sun",15,"1357"
"M06",2016,"January","Sun",16,"1307"
"M06",2016,"January","Sun",17,"1195"
"M06",2016,"January","Sun",18,"1028"
"M06",2016,"January","Sun",19,"783"
"M06",2016,"January","Sun",20,"569"
"M06",2016,"January","Sun",21,"388"
"M06",2016,"January","Sun",22,"273"
"M06",2016,"January","Sun",23,"149"
"M06",2016,"January","Mon",0,"67"
"M06",2016,"January","Mon",1,"56"
"M06",2016,"January","Mon",2,"48"
"M06",2016,"January","Mon",3,"60"
"M06",2016,"January","Mon",4,"76"
"M06",2016,"January","Mon",5,"255"
"M06",2016,"January","Mon",6,"726"
"M06",2016,"January","Mon",7,"1470"
"M06",2016,"January","Mon",8,"1169"
"M06",2016,"January","Mon",9,"838"
"M06",2016,"January","Mon",10,"807"
"M06",2016,"January","Mon",11,"950"
"M06",2016,"January","Mon",12,"1027"
"M06",2016,"January","Mon",13,"1054"
"M06",2016,"January","Mon",14,"1191"
"M06",2016,"January","Mon",15,"1288"
"M06",2016,"January","Mon",16,"1528"
"M06",2016,"January","Mon",17,"1590"
"M06",2016,"January","Mon",18,"1000"
"M06",2016,"January","Mon",19,"584"
"M06",2016,"January","Mon",20,"454"
"M06",2016,"January","Mon",21,"340"
"M06",2016,"January","Mon",22,"267"
"M06",2016,"January","Mon",23,"193"
"M06",2016,"January","Tue",0,"104"
"M06",2016,"January","Tue",1,"58"
"M06",2016,"January","Tue",2,"68"
"M06",2016,"January","Tue",3,"56"
"M06",2016,"January","Tue",4,"62"
"M06",2016,"January","Tue",5,"228"
"M06",2016,"January","Tue",6,"678"
"M06",2016,"January","Tue",7,"1449"
"M06",2016,"January","Tue",8,"1271"
"M06",2016,"January","Tue",9,"975"
"M06",2016,"January","Tue",10,"818"
"M06",2016,"January","Tue",11,"987"
"M06",2016,"January","Tue",12,"946"
"M06",2016,"January","Tue",13,"1080"
"M06",2016,"January","Tue",14,"1144"
"M06",2016,"January","Tue",15,"1284"
"M06",2016,"January","Tue",16,"1509"
"M06",2016,"January","Tue",17,"1693"
"M06",2016,"January","Tue",18,"1147"
"M06",2016,"January","Tue",19,"642"
"M06",2016,"January","Tue",20,"471"
"M06",2016,"January","Tue",21,"324"
"M06",2016,"January","Tue",22,"234"
"M06",2016,"January","Tue",23,"225"
"M06",2016,"January","Wed",0,"112"
"M06",2016,"January","Wed",1,"61"
"M06",2016,"January","Wed",2,"72"
"M06",2016,"January","Wed",3,"56"
"M06",2016,"January","Wed",4,"81"
"M06",2016,"January","Wed",5,"201"
"M06",2016,"January","Wed",6,"665"
"M06",2016,"January","Wed",7,"1645"
"M06",2016,"January","Wed",8,"1488"
"M06",2016,"January","Wed",9,"988"
"M06",2016,"January","Wed",10,"808"
"M06",2016,"January","Wed",11,"871"
"M06",2016,"January","Wed",12,"874"
"M06",2016,"January","Wed",13,"982"
"M06",2016,"January","Wed",14,"1067"
"M06",2016,"January","Wed",15,"1312"
"M06",2016,"January","Wed",16,"1500"
"M06",2016,"January","Wed",17,"1630"
"M06",2016,"January","Wed",18,"1113"
"M06",2016,"January","Wed",19,"605"
"M06",2016,"January","Wed",20,"513"
